Frame,Visibility,X,Y,Radius
0,1,795,686,0
1,1,802,678,32
2,0,-1,-1,0
3,0,-1,-1,0
4,0,-1,-1,0
5,0,-1,-1,0
6,0,-1,-1,0
7,1,840,611,31
8,1,843,611,31
9,1,870,588,30
10,1,870,581,29
11,1,870,585,29
12,0,-1,-1,0
13,0,-1,-1,0
14,0,-1,-1,0
15,0,-1,-1,0
16,0,-1,-1,0
17,1,937,566,28
18,1,933,562,27
19,1,937,562,25
20,1,945,562,24
21,1,945,562,24
22,1,948,566,24
23,1,956,570,24
24,1,967,573,24
25,1,971,581,24
26,1,990,581,24
27,1,986,581,24
28,1,986,585,24
29,0,-1,-1,0
30,0,-1,-1,0
31,1,1008,611,24
32,1,1008,611,24
33,1,1012,615,24
34,1,1031,626,24
35,1,1031,633,23
36,0,-1,-1,0
37,1,1035,656,23
38,1,1035,656,22
39,1,1035,656,22
40,0,-1,-1,0
41,0,-1,-1,0
42,0,-1,-1,0
43,0,-1,-1,0
44,0,-1,-1,0
45,0,-1,-1,0
46,0,-1,-1,0
47,1,1050,630,24
48,1,1046,618,26
49,1,1042,600,28
50,1,1042,573,25
51,1,1038,555,23
52,1,1038,532,21
53,1,1038,517,21
54,1,1027,502,21
55,1,1031,476,21
56,1,1035,457,22
57,1,1031,442,22
58,1,1027,423,22
59,1,1023,405,23
60,1,1023,386,23
61,1,1023,375,23
62,1,1016,352,26
63,1,1016,337,25
64,1,1016,318,24
65,1,1012,303,23
66,1,1005,288,22
67,1,1005,273,23
68,1,1005,258,23
69,1,1001,251,23
70,0,-1,-1,0
71,1,1001,217,23
72,0,-1,-1,0
73,1,990,202,23
74,1,986,191,23
75,0,-1,-1,0
76,0,-1,-1,0
77,1,978,150,24
78,1,975,146,24
79,1,971,135,25
80,0,-1,-1,0
81,1,577,881,26
82,1,967,127,25
83,0,-1,-1,0
84,0,-1,-1,0
85,0,-1,-1,0
86,0,-1,-1,0
87,0,-1,-1,0
88,0,-1,-1,0
89,0,-1,-1,0
90,0,-1,-1,0
91,0,-1,-1,0
92,0,-1,-1,0
93,0,-1,-1,0
94,0,-1,-1,0
95,0,-1,-1,0
96,0,-1,-1,0
97,0,-1,-1,0
98,0,-1,-1,0
99,0,-1,-1,0
100,0,-1,-1,0
101,0,-1,-1,0
102,0,-1,-1,0
103,0,-1,-1,0
104,0,-1,-1,0
105,0,-1,-1,0
106,0,-1,-1,0
107,0,-1,-1,0
108,1,870,90,26
109,1,862,97,27
110,1,855,101,27
111,1,855,105,28
112,1,870,150,28
113,1,855,146,28
114,1,862,153,28
115,1,862,161,28
116,1,858,180,28
117,1,858,180,28
118,1,851,198,28
119,1,843,221,28
120,1,840,236,28
121,1,836,251,27
122,1,828,262,27
123,1,825,281,27
124,1,817,300,28
125,1,817,318,28
126,1,810,333,28
127,1,810,356,28
128,1,806,378,28
129,0,-1,-1,0
130,1,791,423,28
131,1,787,442,28
132,1,780,465,28
133,1,776,487,28
134,1,776,510,28
135,0,-1,-1,0
136,1,765,573,29
137,1,765,588,28
138,1,753,615,28
139,1,753,645,29
140,1,746,671,29
141,1,746,701,29
142,1,708,738,30
143,0,-1,-1,0
144,0,-1,-1,0
145,0,-1,-1,0
146,0,-1,-1,0
147,0,-1,-1,0
148,0,-1,-1,0
149,0,-1,-1,0
150,1,716,652,30
151,1,690,630,29
152,1,708,600,31
153,1,705,566,30
154,1,697,540,30
155,1,705,510,30
156,1,693,476,30
157,1,693,453,30
158,1,693,427,30
159,1,690,408,29
160,1,686,386,29
161,1,682,363,28
162,1,678,330,28
163,1,675,311,28
164,1,675,288,28
165,1,675,266,28
166,1,671,251,28
167,1,671,236,28
168,1,671,221,28
169,1,671,206,28
170,1,667,187,27
171,1,660,172,27
172,1,652,161,27
173,1,652,146,28
174,1,645,135,28
175,1,645,127,28
176,1,645,112,28
177,1,645,108,29
178,1,641,108,28
179,1,641,56,27
180,0,-1,-1,0
181,0,-1,-1,0
182,0,-1,-1,0
183,0,-1,-1,0
184,0,-1,-1,0
185,0,-1,-1,0
186,0,-1,-1,0
187,0,-1,-1,0
188,0,-1,-1,0
189,1,840,727,25
190,1,821,738,23
191,1,817,753,21
192,1,780,795,22
193,0,-1,-1,0
194,0,-1,-1,0
195,0,-1,-1,0
196,0,-1,-1,0
197,0,-1,-1,0
198,1,1852,686,19
199,1,633,757,19
200,1,633,757,19
201,1,1852,690,18
202,1,1852,690,15
203,1,1852,690,15
204,1,1852,690,14
205,1,1852,690,13
206,1,1848,690,11
207,0,-1,-1,0
208,0,-1,-1,0
209,1,596,93,13
210,1,600,101,15
211,1,588,120,21
212,1,588,127,23
213,1,585,135,25
214,1,585,146,28
215,1,577,161,27
216,1,600,491,25
217,1,573,176,25
218,1,573,187,25
219,1,570,202,24
220,1,573,217,24
221,1,570,228,24
222,1,566,247,24
223,1,570,262,24
224,1,566,285,24
225,1,570,296,24
226,1,551,633,26
227,1,562,333,25
228,1,562,345,24
229,1,562,363,24
230,1,558,382,23
231,1,562,393,22
232,0,-1,-1,0
233,1,555,435,26
234,1,648,937,23
235,1,453,461,23
236,1,390,468,24
237,1,322,476,25
238,1,247,498,24
239,1,71,551,24
240,1,517,888,27
241,1,18,558,29
242,0,-1,-1,0
243,0,-1,-1,0
244,0,-1,-1,0
245,0,-1,-1,0
246,0,-1,-1,0
247,0,-1,-1,0
248,0,-1,-1,0
249,0,-1,-1,0
250,0,-1,-1,0
251,0,-1,-1,0
252,0,-1,-1,0
253,0,-1,-1,0
254,0,-1,-1,0
255,0,-1,-1,0
256,0,-1,-1,0
257,0,-1,-1,0
258,0,-1,-1,0
259,0,-1,-1,0
260,1,536,746,32
261,1,513,727,31
262,0,-1,-1,0
263,0,-1,-1,0
264,0,-1,-1,0
265,0,-1,-1,0
266,0,-1,-1,0
267,0,-1,-1,0
268,0,-1,-1,0
269,0,-1,-1,0
270,0,-1,-1,0
271,0,-1,-1,0
272,0,-1,-1,0
273,0,-1,-1,0
274,0,-1,-1,0
275,0,-1,-1,0
276,0,-1,-1,0
277,0,-1,-1,0
278,0,-1,-1,0
279,0,-1,-1,0
280,0,-1,-1,0
281,0,-1,-1,0
282,0,-1,-1,0
283,0,-1,-1,0
284,0,-1,-1,0
285,0,-1,-1,0
286,0,-1,-1,0
287,0,-1,-1,0
288,0,-1,-1,0
289,0,-1,-1,0
290,1,581,780,30
291,1,581,776,29
292,1,581,776,27
293,1,581,772,28
294,1,581,772,28
295,0,-1,-1,0
296,0,-1,-1,0
297,0,-1,-1,0
298,0,-1,-1,0
299,0,-1,-1,0
300,0,-1,-1,0
301,0,-1,-1,0
302,0,-1,-1,0
303,0,-1,-1,0
304,1,1822,577,26
305,1,1822,581,21
306,0,-1,-1,0
307,1,1068,431,12
308,1,1012,172,8
309,0,-1,-1,0
310,0,-1,-1,0
311,0,-1,-1,0
312,0,-1,-1,0
313,0,-1,-1,0
314,0,-1,-1,0
315,0,-1,-1,0
316,0,-1,-1,0
317,0,-1,-1,0
318,0,-1,-1,0
319,0,-1,-1,0
320,0,-1,-1,0
321,0,-1,-1,0
322,0,-1,-1,0
323,0,-1,-1,0
324,0,-1,-1,0
325,0,-1,-1,0
326,0,-1,-1,0
327,0,-1,-1,0
328,0,-1,-1,0
329,0,-1,-1,0
330,0,-1,-1,0
331,0,-1,-1,0
332,0,-1,-1,0
333,0,-1,-1,0
334,0,-1,-1,0
335,0,-1,-1,0
336,0,-1,-1,0
337,0,-1,-1,0
338,0,-1,-1,0
339,0,-1,-1,0
340,0,-1,-1,0
341,0,-1,-1,0
342,0,-1,-1,0
343,0,-1,-1,0
344,0,-1,-1,0
345,0,-1,-1,0
346,0,-1,-1,0
347,0,-1,-1,0
348,0,-1,-1,0
349,0,-1,-1,0
350,0,-1,-1,0
351,0,-1,-1,0
352,0,-1,-1,0
353,0,-1,-1,0
354,0,-1,-1,0
355,0,-1,-1,0
356,0,-1,-1,0
357,0,-1,-1,0
358,0,-1,-1,0
359,0,-1,-1,0
360,0,-1,-1,0
361,0,-1,-1,0
362,1,1507,525,10
363,1,1507,525,11
364,1,1507,525,20
365,1,1507,521,17
366,1,1507,525,10
367,1,1507,525,7
368,1,1507,525,5
369,0,-1,-1,0
370,0,-1,-1,0
371,0,-1,-1,0
372,0,-1,-1,0
373,0,-1,-1,0
374,0,-1,-1,0
375,0,-1,-1,0
376,1,487,862,6
377,1,487,866,7
378,0,-1,-1,0
379,0,-1,-1,0
380,0,-1,-1,0
381,1,431,926,23
382,1,431,926,28
383,1,431,926,33
384,1,431,922,35
385,0,-1,-1,0
386,0,-1,-1,0
387,1,401,566,29
388,1,401,566,24
389,1,401,566,12
390,1,401,566,7
391,1,401,566,5
392,1,401,566,5
